Model,MSO44B
Channel,CH1,,Channel,CH3,,Channel,MATH1
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,125000,,Record Length,125000,,Record Length,125000
Zero Index,28749.50000000,,Zero Index,28749.50000000,,Zero Index,28749.50000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,,
yPosition,-2.460000,,yPosition,-2.680000,,,

Labels,,,,Labels,
TIME,CH1,CH3,,TIME,MATH1
-9.17840000e-06,-8.75000000e-03,-7.03125000e-02,,-9.17840000e-06,1.40624996e-02
-9.17808000e-06,-4.45312500e-03,-8.28125000e-02,,-9.17808000e-06,1.48437498e-02
-9.17776000e-06,-3.12500000e-04,-1.03125000e-01,,-9.17776000e-06,3.12500005e-03
-9.17744000e-06,2.34375000e-04,-1.05468750e-01,,-9.17744000e-06,-1.56250000e-02
-9.17712000e-06,-1.17187500e-03,-9.92187500e-02,,-9.17712000e-06,-2.81249993e-02
-9.17680000e-06,-2.73437500e-03,-1.05468750e-01,,-9.17680000e-06,-3.28124985e-02
-9.17648000e-06,-4.60937500e-03,-1.05468750e-01,,-9.17648000e-06,-4.21875007e-02
-9.17616000e-06,-6.48437500e-03,-8.67187500e-02,,-9.17616000e-06,-5.78125007e-02
-9.17584000e-06,-6.48437500e-03,-7.65625000e-02,,-9.17584000e-06,-5.31250015e-02
-9.17552000e-06,-4.45312500e-03,-8.51562500e-02,,-9.17552000e-06,-2.81249993e-02
-9.17520000e-06,-3.75000000e-03,-9.53125000e-02,,-9.17520000e-06,2.34375009e-03
-9.17488000e-06,-5.78125000e-03,-1.05468750e-01,,-9.17488000e-06,4.14062515e-02
-9.17456000e-06,-8.43750000e-03,-1.27343750e-01,,-9.17456000e-06,5.00000007e-02
-9.17424000e-06,-1.00000000e-02,-1.46093750e-01,,-9.17424000e-06,5.46874991e-03
-9.17392000e-06,-9.68750000e-03,-1.42968750e-01,,-9.17392000e-06,-2.65625007e-02
-9.17360000e-06,-8.12500000e-03,-1.21093750e-01,,-9.17360000e-06,-7.81250012e-04
-9.17328000e-06,-7.26562500e-03,-9.29687500e-02,,-9.17328000e-06,2.89062504e-02
-9.17296000e-06,-6.56250000e-03,-8.51562500e-02,,-9.17296000e-06,1.87500007e-02
-9.17264000e-06,-4.06250000e-03,-1.03906250e-01,,-9.17264000e-06,1.56250000e-02
-9.17232000e-06,-2.73437500e-03,-1.24218750e-01,,-9.17232000e-06,4.21875007e-02
-9.17200000e-06,-4.45312500e-03,-1.28906250e-01,,-9.17200000e-06,3.90625000e-02
-9.17168000e-06,-6.32812500e-03,-1.09375000e-01,,-9.17168000e-06,7.81250012e-04
-9.17136000e-06,-6.01562500e-03,-7.73437500e-02,,-9.17136000e-06,-2.96874996e-02
-9.17104000e-06,-4.29687500e-03,-6.09375000e-02,,-9.17104000e-06,-3.28124985e-02
